%META:TOPICINFO{author="TWikiGuest" date="1446088740" format="1.1" version="1.3283"}%
%META:TOPICPARENT{name="WebHome"}%
---++ Statistics for <nop>%WEB% Web

| *Month:* | *Topic <br /> views:* | *Topic <br /> saves:* | *File <br /> uploads:* | *Most popular <br /> topic views:* | *Top contributors for <br /> topic save and uploads:* |
| <!--statDate--> | <!--statViews--> | <!--statSaves--> | <!--statUploads--> | <!--statTopViews--> | <!--statTopContributors--> |
| Oct 2015 |  14357 |  0 |  0 | 7576 [[WebHome]]<br />654 [[DwCInterestGroupCharter]]<br />529 [[DarwinCoreDraftStandard]]<br />481 [[CircaNewsgroupsDiscussions]]<br />390 [[InteractionExtension]]<br />341 [[GeospatialElement]]<br />295 [[WebStatistics]]<br />222 [[EnvironmentMeasurementsExtension]]<br />206 [[CuratorialExtension]]<br />189 [[PaleontologyElement]]<br />172 [[DarwinCoreVersions]] |  |
| Sep 2015 |  11087 |  0 |  0 | 2656 [[WebHome]]<br />1136 [[CircaNewsgroupsDiscussions]]<br />1029 [[DwCInterestGroupCharter]]<br />687 [[WebStatistics]]<br />595 [[GeospatialElement]]<br />359 [[InteractionExtension]]<br />350 [[PaleontologyElement]]<br />303 [[CuratorialExtension]]<br />243 [[DarwinCoreVersions]]<br />231 [[DarwinCoreDraftStandard]]<br />228 [[GeospatialExtension]] |  |
| Aug 2015 |  7998 |  0 |  0 | 3109 [[WebHome]]<br />613 [[WebStatistics]]<br />595 [[CircaNewsgroupsDiscussions]]<br />374 [[DarwinCoreDraftStandard]]<br />168 [[InteractionExtension]]<br />150 [[DwCInterestGroupCharter]]<br />140 [[GeospatialExtension]]<br />118 [[PaleontologyElement]]<br />112 [[DarwinCoreVersions]]<br />106 [[CuratorialExtension]]<br />&nbsp;94 [[BasisOfRecord]] |  |
| Jul 2015 |  10827 |  0 |  0 | 3759 [[WebHome]]<br />1509 [[CircaNewsgroupsDiscussions]]<br />672 [[DarwinCoreDraftStandard]]<br />527 [[GeospatialExtension]]<br />522 [[WebStatistics]]<br />274 [[GeospatialElement]]<br />223 [[DarwinCoreVersions]]<br />196 [[CuratorialExtension]]<br />178 [[InteractionExtension]]<br />178 [[DwCInterestGroupCharter]]<br />150 [[PaleontologyElement]] |  |
| Jun 2015 |  5204 |  0 |  0 | 709 [[DarwinCoreDraftStandard]]<br />629 [[WebHome]]<br />410 [[GeospatialExtension]]<br />262 [[WebStatistics]]<br />155 [[DarwinCoreVersions]]<br />153 [[BasisOfRecord]]<br />137 [[CuratorialExtension]]<br />110 [[InteractionExtension]]<br />101 [[WebPreferences]]<br />&nbsp;91 [[WebChanges]]<br />&nbsp;79 [[PaleontologyElement]] |  |
| May 2015 |  6540 |  0 |  0 | 816 [[DarwinCoreDraftStandard]]<br />749 [[WebHome]]<br />609 [[GeospatialExtension]]<br />412 [[WebStatistics]]<br />328 [[DarwinCoreVersions]]<br />251 [[InteractionExtension]]<br />179 [[CuratorialExtension]]<br />124 [[PaleontologyElement]]<br />122 [[GeospatialElement]]<br />117 [[BasisOfRecord]]<br />106 [[DwCInterestGroupCharter]] |  |
| Apr 2015 |  6583 |  0 |  0 | 1052 [[WebHome]]<br />716 [[WebStatistics]]<br />588 [[DarwinCoreDraftStandard]]<br />585 [[GeospatialExtension]]<br />211 [[DarwinCoreVersions]]<br />161 [[InteractionExtension]]<br />157 [[PaleontologyElement]]<br />129 [[IdentificationQualifer]]<br />126 [[CuratorialExtension]]<br />107 [[CircaNewsgroupsDiscussions]]<br />&nbsp;98 [[GeospatialExtensionSchema]] |  |
| Mar 2015 |  7074 |  0 |  0 | 938 [[WebHome]]<br />633 [[WebStatistics]]<br />495 [[DarwinCoreDraftStandard]]<br />409 [[GeospatialExtension]]<br />252 [[DarwinCoreVersions]]<br />242 [[CuratorialExtension]]<br />213 [[PaleontologyElement]]<br />201 [[InteractionExtension]]<br />149 [[WebChanges]]<br />140 [[WebNotify]]<br />139 [[GeospatialExtensionSchemaGML]] |  |
| Feb 2015 |  7674 |  0 |  0 | 716 [[WebHome]]<br />713 [[WebStatistics]]<br />706 [[DarwinCoreDraftStandard]]<br />303 [[GeospatialExtension]]<br />250 [[InteractionExtension]]<br />245 [[DarwinCoreVersions]]<br />236 [[CuratorialExtension]]<br />213 [[PaleontologyElement]]<br />175 [[WebPreferences]]<br />153 [[EarliestDateCollected]]<br />129 [[WebNotify]] |  |
| Jan 2015 |  5640 |  0 |  0 | 1059 [[WebHome]]<br />749 [[WebStatistics]]<br />500 [[DarwinCoreDraftStandard]]<br />233 [[InteractionExtension]]<br />223 [[CircaNewsgroupsDiscussions]]<br />159 [[GeospatialExtension]]<br />117 [[PaleontologyElement]]<br />117 [[WebNotify]]<br />108 [[EarliestDateCollected]]<br />104 [[DarwinCoreVersions]]<br />&nbsp;99 [[CuratorialExtension]] |  |
| Dec 2014 |  6491 |  0 |  0 | 1119 [[WebHome]]<br />740 [[WebStatistics]]<br />644 [[DarwinCoreDraftStandard]]<br />540 [[CircaNewsgroupsDiscussions]]<br />344 [[InteractionExtension]]<br />260 [[GeospatialExtension]]<br />182 [[DarwinCoreVersions]]<br />139 [[PaleontologyElement]]<br />134 [[CuratorialExtension]]<br />&nbsp;78 [[DesignAndPurpose]]<br />&nbsp;70 [[WebChanges]] |  |
| Nov 2014 |  6821 |  0 |  0 | 1291 [[WebStatistics]]<br />872 [[WebHome]]<br />702 [[DarwinCoreDraftStandard]]<br />343 [[InteractionExtension]]<br />307 [[GeospatialExtension]]<br />207 [[DarwinCoreVersions]]<br />203 [[CircaNewsgroupsDiscussions]]<br />178 [[CuratorialExtension]]<br />173 [[PaleontologyElement]]<br />&nbsp;94 [[WebPreferences]]<br />&nbsp;86 [[GeospatialElement]] |  |
