%META:TOPICINFO{author="TWikiGuest" date="1446088741" format="1.1" version="1.2720"}%
%META:TOPICPARENT{name="WebHome"}%
---++ Statistics for <nop>%WEB% Web

| *Month:* | *Topic <br /> views:* | *Topic <br /> saves:* | *File <br /> uploads:* | *Most popular <br /> topic views:* | *Top contributors for <br /> topic save and uploads:* |
| <!--statDate--> | <!--statViews--> | <!--statSaves--> | <!--statUploads--> | <!--statTopViews--> | <!--statTopContributors--> |
| Oct 2015 |  928 |  0 |  0 | 367 [[WebHome]]<br />183 [[WebPreferences]]<br />&nbsp;87 [[WebStatistics]]<br />&nbsp;65 [[ComparisonOfExistingSolutions]]<br />&nbsp;37 [[WebNotify]]<br />&nbsp;30 [[WebChanges]]<br />&nbsp;21 [[WebSearchAdvanced]]<br />&nbsp;16 [[WebSearch]]<br />&nbsp;15 [[WebIndex]]<br />&nbsp;14 [[WebTopicList]]<br />&nbsp;12 [[Criterion13GeneralComments]] |  |
| Sep 2015 |  1403 |  0 |  0 | 482 [[WebHome]]<br />278 [[WebPreferences]]<br />207 [[WebStatistics]]<br />174 [[ComparisonOfExistingSolutions]]<br />&nbsp;26 [[WebChanges]]<br />&nbsp;24 [[WebNotify]]<br />&nbsp;21 [[WebTopicList]]<br />&nbsp;20 [[WebSearchAdvanced]]<br />&nbsp;20 [[WebIndex]]<br />&nbsp;18 [[WebSearch]]<br />&nbsp;12 [[Criterion5GeneralComments]] |  |
| Aug 2015 |  1142 |  0 |  0 | 416 [[WebHome]]<br />234 [[ComparisonOfExistingSolutions]]<br />140 [[WebStatistics]]<br />&nbsp;72 [[WebPreferences]]<br />&nbsp;31 [[WebNotify]]<br />&nbsp;29 [[WebChanges]]<br />&nbsp;24 [[WebTopicList]]<br />&nbsp;23 [[WebSearchAdvanced]]<br />&nbsp;23 [[WebLeftBar]]<br />&nbsp;20 [[WebSearch]]<br />&nbsp;12 [[Criterion10GeneralComments]] |  |
| Jul 2015 |  1078 |  0 |  0 | 487 [[WebHome]]<br />199 [[ComparisonOfExistingSolutions]]<br />160 [[WebStatistics]]<br />&nbsp;32 [[WebPreferences]]<br />&nbsp;30 [[WebNotify]]<br />&nbsp;30 [[WebChanges]]<br />&nbsp;22 [[WebTopicList]]<br />&nbsp;20 [[WebSearchAdvanced]]<br />&nbsp;19 [[WebSearch]]<br />&nbsp;12 [[Criterion9GeneralComments]]<br />&nbsp;&nbsp;9 [[Criterion10GeneralComments]] |  |
| Jun 2015 |  720 |  0 |  0 | 313 [[WebHome]]<br />&nbsp;85 [[WebStatistics]]<br />&nbsp;71 [[ComparisonOfExistingSolutions]]<br />&nbsp;33 [[WebNotify]]<br />&nbsp;29 [[WebPreferences]]<br />&nbsp;21 [[WebChanges]]<br />&nbsp;17 [[WebIndex]]<br />&nbsp;14 [[WebLeftBar]]<br />&nbsp;13 [[WebTopicList]]<br />&nbsp;13 [[WebSearchAdvanced]]<br />&nbsp;12 [[WebSearch]] |  |
| May 2015 |  1004 |  0 |  0 | 357 [[WebHome]]<br />230 [[ComparisonOfExistingSolutions]]<br />186 [[WebStatistics]]<br />&nbsp;24 [[WebNotify]]<br />&nbsp;19 [[WebPreferences]]<br />&nbsp;18 [[WebChanges]]<br />&nbsp;15 [[WebTopicList]]<br />&nbsp;14 [[WebSearchAdvanced]]<br />&nbsp;12 [[WebLeftBar]]<br />&nbsp;11 [[WebIndex]]<br />&nbsp;10 [[WebSearch]] |  |
| Apr 2015 |  1713 |  0 |  0 | 569 [[WebHome]]<br />488 [[ComparisonOfExistingSolutions]]<br />331 [[WebStatistics]]<br />&nbsp;61 [[WebPreferences]]<br />&nbsp;45 [[WebNotify]]<br />&nbsp;37 [[WebChanges]]<br />&nbsp;23 [[WebTopicList]]<br />&nbsp;20 [[WebIndex]]<br />&nbsp;17 [[WebSearch]]<br />&nbsp;15 [[WebSearchAdvanced]]<br />&nbsp;12 [[WebTopicCreator]] |  |
| Mar 2015 |  1959 |  0 |  0 | 726 [[WebHome]]<br />605 [[ComparisonOfExistingSolutions]]<br />251 [[WebStatistics]]<br />101 [[WebPreferences]]<br />&nbsp;43 [[WebChanges]]<br />&nbsp;33 [[WebSearchAdvanced]]<br />&nbsp;31 [[WebNotify]]<br />&nbsp;19 [[WebLeftBar]]<br />&nbsp;15 [[WebTopicList]]<br />&nbsp;13 [[WebSearch]]<br />&nbsp;12 [[Criterion2GeneralComments]] |  |
| Feb 2015 |  3019 |  0 |  0 | 1133 [[ComparisonOfExistingSolutions]]<br />1033 [[WebHome]]<br />254 [[WebStatistics]]<br />163 [[WebPreferences]]<br />&nbsp;74 [[WebNotify]]<br />&nbsp;47 [[WebChanges]]<br />&nbsp;34 [[WebSearchAdvanced]]<br />&nbsp;27 [[WebIndex]]<br />&nbsp;25 [[WebTopicList]]<br />&nbsp;22 [[WebLeftBar]]<br />&nbsp;20 [[WebSearch]] |  |
