%META:TOPICINFO{author="TWikiGuest" date="1446088741" format="1.1" version="1.2841"}%
%META:TOPICPARENT{name="WebHome"}%
---++ Statistics for <nop>%WEB% Web

| *Month:* | *Topic <br /> views:* | *Topic <br /> saves:* | *File <br /> uploads:* | *Most popular <br /> topic views:* | *Top contributors for <br /> topic save and uploads:* |
| <!--statDate--> | <!--statViews--> | <!--statSaves--> | <!--statUploads--> | <!--statTopViews--> | <!--statTopContributors--> |
| Oct 2015 |  4739 |  0 |  0 | 1395 [[BiodiversityCollectionsIndexKickOffMeeting]]<br />1028 [[NCDListOfDeliverables]]<br />814 [[WebHome]]<br />433 [[WebStatistics]]<br />351 [[NCDWorkShop]]<br />163 [[WebPreferences]]<br />123 [[NCDPublicReview]]<br />&nbsp;74 [[WebSearch]]<br />&nbsp;58 [[WebChanges]]<br />&nbsp;57 [[WebNotify]]<br />&nbsp;43 [[WebTopicCreator]] |  |
| Sep 2015 |  5067 |  0 |  0 | 1110 [[NCDListOfDeliverables]]<br />1053 [[WebHome]]<br />778 [[WebStatistics]]<br />763 [[NCDWorkShop]]<br />737 [[BiodiversityCollectionsIndexKickOffMeeting]]<br />203 [[NCDPublicReview]]<br />188 [[WebPreferences]]<br />&nbsp;45 [[WebChanges]]<br />&nbsp;27 [[WebNotify]]<br />&nbsp;24 [[WebTopicList]]<br />&nbsp;21 [[WebSearchAdvanced]] |  |
| Aug 2015 |  2126 |  0 |  0 | 572 [[WebHome]]<br />469 [[WebStatistics]]<br />252 [[NCDListOfDeliverables]]<br />225 [[BiodiversityCollectionsIndexKickOffMeeting]]<br />158 [[NCDWorkShop]]<br />119 [[WebPreferences]]<br />&nbsp;69 [[NCDPublicReview]]<br />&nbsp;42 [[WebChanges]]<br />&nbsp;35 [[WebNotify]]<br />&nbsp;32 [[WebTopicList]]<br />&nbsp;24 [[BiodiversityCollectionsIndexKickOffMeetingMinutes]] |  |
| Jul 2015 |  1400 |  0 |  0 | 424 [[WebHome]]<br />298 [[WebStatistics]]<br />180 [[BiodiversityCollectionsIndexKickOffMeeting]]<br />120 [[NCDListOfDeliverables]]<br />&nbsp;72 [[NCDWorkShop]]<br />&nbsp;68 [[WebPreferences]]<br />&nbsp;36 [[NCDPublicReview]]<br />&nbsp;26 [[WebChanges]]<br />&nbsp;25 [[WebNotify]]<br />&nbsp;19 [[WebSearchAdvanced]]<br />&nbsp;19 [[WebSearch]] |  |
| Jun 2015 |  853 |  0 |  0 | 251 [[WebHome]]<br />188 [[WebStatistics]]<br />&nbsp;87 [[BiodiversityCollectionsIndexKickOffMeeting]]<br />&nbsp;53 [[WebPreferences]]<br />&nbsp;29 [[NCDWorkShop]]<br />&nbsp;28 [[NCDListOfDeliverables]]<br />&nbsp;26 [[WebSearch]]<br />&nbsp;24 [[WebLeftBar]]<br />&nbsp;23 [[WebNotify]]<br />&nbsp;20 [[WebChanges]]<br />&nbsp;20 [[NCDPublicReview]] |  |
| May 2015 |  1088 |  0 |  0 | 294 [[WebStatistics]]<br />286 [[WebHome]]<br />131 [[BiodiversityCollectionsIndexKickOffMeeting]]<br />&nbsp;72 [[WebPreferences]]<br />&nbsp;48 [[NCDWorkShop]]<br />&nbsp;31 [[NCDListOfDeliverables]]<br />&nbsp;26 [[WebChanges]]<br />&nbsp;24 [[WebTopicList]]<br />&nbsp;23 [[WebNotify]]<br />&nbsp;23 [[NCDPublicReview]]<br />&nbsp;20 [[BiodiversityCollectionsIndexKickOffMeetingMinutes]] |  |
| Apr 2015 |  1757 |  0 |  0 | 593 [[WebStatistics]]<br />456 [[WebHome]]<br />283 [[BiodiversityCollectionsIndexKickOffMeeting]]<br />&nbsp;77 [[WebPreferences]]<br />&nbsp;67 [[NCDWorkShop]]<br />&nbsp;53 [[NCDListOfDeliverables]]<br />&nbsp;34 [[NCDPublicReview]]<br />&nbsp;27 [[WebChanges]]<br />&nbsp;24 [[WebNotify]]<br />&nbsp;23 [[BiodiversityCollectionsIndexKickOffMeetingMinutes]]<br />&nbsp;19 [[WebSearchAdvanced]] |  |
| Mar 2015 |  2368 |  0 |  0 | 854 [[WebStatistics]]<br />628 [[WebHome]]<br />409 [[BiodiversityCollectionsIndexKickOffMeeting]]<br />&nbsp;96 [[WebPreferences]]<br />&nbsp;79 [[NCDWorkShop]]<br />&nbsp;47 [[NCDListOfDeliverables]]<br />&nbsp;31 [[WebNotify]]<br />&nbsp;31 [[NCDPublicReview]]<br />&nbsp;25 [[WebChanges]]<br />&nbsp;20 [[WebSearchAdvanced]]<br />&nbsp;20 [[NeilThomson]] |  |
| Feb 2015 |  2999 |  0 |  0 | 865 [[WebHome]]<br />843 [[WebStatistics]]<br />551 [[BiodiversityCollectionsIndexKickOffMeeting]]<br />126 [[WebPreferences]]<br />126 [[NCDListOfDeliverables]]<br />&nbsp;95 [[NCDWorkShop]]<br />&nbsp;68 [[NCDPublicReview]]<br />&nbsp;43 [[BiodiversityCollectionsIndexKickOffMeetingMinutes]]<br />&nbsp;41 [[WebChanges]]<br />&nbsp;38 [[WebNotify]]<br />&nbsp;31 [[BiodiversityCollectionsIndex]] |  |
