%META:TOPICINFO{author="TWikiGuest" date="1446088743" format="1.1" version="1.3031"}%
%META:TOPICPARENT{name="WebHome"}%
---++ Statistics for <nop>%WEB% Web

| *Month:* | *Topic <br /> views:* | *Topic <br /> saves:* | *File <br /> uploads:* | *Most popular <br /> topic views:* | *Top contributors for <br /> topic save and uploads:* |
| <!--statDate--> | <!--statViews--> | <!--statSaves--> | <!--statUploads--> | <!--statTopViews--> | <!--statTopContributors--> |
| Oct 2015 |  4068 |  0 |  0 | 492 [[WebHome]]<br />200 [[WebStatistics]]<br />160 [[TapirLink]]<br />&nbsp;92 [[FrequentlyAskedQuestions]]<br />&nbsp;91 [[WebPreferences]]<br />&nbsp;91 [[TapirSoftware]]<br />&nbsp;90 [[PyWrapper]]<br />&nbsp;77 [[WebChanges]]<br />&nbsp;67 [[ExampleTapirMessages]]<br />&nbsp;61 [[GlossaryOfTerms]]<br />&nbsp;55 [[TapirTester]] |  |
| Sep 2015 |  3435 |  0 |  0 | 426 [[WebHome]]<br />139 [[WebStatistics]]<br />127 [[TapirLink]]<br />&nbsp;88 [[WebChanges]]<br />&nbsp;61 [[RoadMap]]<br />&nbsp;59 [[ExampleTapirMessages]]<br />&nbsp;55 [[TapirSoftware]]<br />&nbsp;55 [[WebPreferences]]<br />&nbsp;53 [[FifthProposalDatasourceServiceProposal]]<br />&nbsp;52 [[FrequentlyAskedQuestions]]<br />&nbsp;43 [[PyWrapper]] |  |
| Aug 2015 |  3847 |  0 |  0 | 420 [[WebHome]]<br />221 [[WebStatistics]]<br />106 [[TapirLink]]<br />&nbsp;92 [[WebChanges]]<br />&nbsp;81 [[FrequentlyAskedQuestions]]<br />&nbsp;75 [[TapirSoftware]]<br />&nbsp;72 [[ExampleTapirMessages]]<br />&nbsp;62 [[RoadMap]]<br />&nbsp;55 [[GlossaryOfTerms]]<br />&nbsp;53 [[WebPreferences]]<br />&nbsp;52 [[TapirRdf]] |  |
| Jul 2015 |  3614 |  0 |  0 | 470 [[TapirLink]]<br />338 [[WebHome]]<br />180 [[WebStatistics]]<br />&nbsp;83 [[TapirLinkManual]]<br />&nbsp;70 [[FrequentlyAskedQuestions]]<br />&nbsp;70 [[ExampleTapirMessages]]<br />&nbsp;67 [[SemanticMapping]]<br />&nbsp;64 [[TapirSoftware]]<br />&nbsp;58 [[GlossaryOfTerms]]<br />&nbsp;58 [[WebPreferences]]<br />&nbsp;56 [[RoadMap]] |  |
| Jun 2015 |  4208 |  0 |  0 | 326 [[WebHome]]<br />307 [[TapirLink]]<br />164 [[WebStatistics]]<br />&nbsp;98 [[WebPreferences]]<br />&nbsp;80 [[WebChanges]]<br />&nbsp;69 [[ExampleTapirMessages]]<br />&nbsp;67 [[TapirClientDesign]]<br />&nbsp;62 [[TapirSoftware]]<br />&nbsp;59 [[RoadMap]]<br />&nbsp;58 [[TapirRdf]]<br />&nbsp;55 [[FrequentlyAskedQuestions]] |  |
| May 2015 |  4472 |  0 |  0 | 428 [[TapirLink]]<br />292 [[WebStatistics]]<br />273 [[WebHome]]<br />&nbsp;86 [[TapirLinkManual]]<br />&nbsp;79 [[ExampleTapirMessages]]<br />&nbsp;69 [[WebPreferences]]<br />&nbsp;69 [[ThirdProposal]]<br />&nbsp;65 [[WebChanges]]<br />&nbsp;60 [[TapirClientDesign]]<br />&nbsp;60 [[SemanticMapping]]<br />&nbsp;52 [[TapirSoftware]] |  |
| Apr 2015 |  4352 |  0 |  0 | 516 [[WebHome]]<br />348 [[TapirLink]]<br />262 [[WebStatistics]]<br />130 [[TapirSoftware]]<br />128 [[ExampleTapirMessages]]<br />125 [[FrequentlyAskedQuestions]]<br />&nbsp;99 [[TapirLinkManual]]<br />&nbsp;82 [[PyWrapper]]<br />&nbsp;65 [[SecondProposal]]<br />&nbsp;56 [[BerlinProtocolMeeting]]<br />&nbsp;55 [[TapirLite]] |  |
| Mar 2015 |  3924 |  0 |  0 | 558 [[WebHome]]<br />270 [[TapirLink]]<br />209 [[WebStatistics]]<br />171 [[ExampleTapirMessages]]<br />161 [[FrequentlyAskedQuestions]]<br />144 [[TapirSoftware]]<br />134 [[TapirLinkManual]]<br />130 [[PyWrapper]]<br />&nbsp;84 [[TapirDotNET]]<br />&nbsp;61 [[ThirdProposal]]<br />&nbsp;49 [[WebChanges]] |  |
| Feb 2015 |  5865 |  0 |  0 | 603 [[WebHome]]<br />229 [[WebStatistics]]<br />179 [[TapirLink]]<br />157 [[PyWrapper]]<br />133 [[ExampleTapirMessages]]<br />106 [[TapirRdf]]<br />105 [[ThirdProposal]]<br />100 [[WebPreferences]]<br />100 [[TapirSoftware]]<br />&nbsp;96 [[FrequentlyAskedQuestions]]<br />&nbsp;95 [[WebChanges]] |  |
