%META:TOPICINFO{author="TWikiGuest" date="1446088743" format="1.1" version="1.4016"}%
%META:TOPICPARENT{name="WebHome"}%
---++ Statistics for <nop>%WEB% Web

| *Month:* | *Topic <br /> views:* | *Topic <br /> saves:* | *File <br /> uploads:* | *Most popular <br /> topic views:* | *Top contributors for <br /> topic save and uploads:* |
| <!--statDate--> | <!--statViews--> | <!--statSaves--> | <!--statUploads--> | <!--statTopViews--> | <!--statTopContributors--> |
| Oct 2015 |  1964 |  0 |  0 | 233 [[WebHome]]<br />163 [[WebStatistics]]<br />106 [[TipDocuments]]<br />&nbsp;74 [[WebPreferences]]<br />&nbsp;72 [[TaxonAPIGetReferringTNames]]<br />&nbsp;71 [[TipSurveyResults]]<br />&nbsp;54 [[Glossary]]<br />&nbsp;49 [[WebNotify]]<br />&nbsp;48 [[TaxonAPIGetTNamesByID]]<br />&nbsp;48 [[WebIndex]]<br />&nbsp;44 [[WebChanges]] |  |
| Sep 2015 |  1732 |  0 |  0 | 213 [[WebStatistics]]<br />194 [[TipDocuments]]<br />147 [[TipSurveyResults]]<br />142 [[WebHome]]<br />111 [[TaxonAPIGetReferringTNames]]<br />&nbsp;95 [[TaxonAPIGetTNamesByID]]<br />&nbsp;56 [[WebPreferences]]<br />&nbsp;50 [[WebChanges]]<br />&nbsp;27 [[DocsDraftStrategy]]<br />&nbsp;20 [[Glossary]]<br />&nbsp;20 [[TaxonAPIGetTConceptsByID]] |  |
| Aug 2015 |  1474 |  0 |  0 | 361 [[WebStatistics]]<br />184 [[WebHome]]<br />&nbsp;75 [[TipDocuments]]<br />&nbsp;44 [[TipSurveyResults]]<br />&nbsp;39 [[WebChanges]]<br />&nbsp;34 [[WebPreferences]]<br />&nbsp;33 [[TaxonAPIGetTNamesByID]]<br />&nbsp;33 [[WebNotify]]<br />&nbsp;31 [[Glossary]]<br />&nbsp;26 [[WebTopicList]]<br />&nbsp;25 [[WebSearchAdvanced]] |  |
| Jul 2015 |  1682 |  0 |  0 | 442 [[WebStatistics]]<br />193 [[WebHome]]<br />123 [[TipDocuments]]<br />&nbsp;56 [[WebPreferences]]<br />&nbsp;50 [[WebChanges]]<br />&nbsp;45 [[Review_TipDocuments_CurrentProcess_Summary]]<br />&nbsp;42 [[TipSurveyResults]]<br />&nbsp;29 [[CurrentWebsiteDocuments]]<br />&nbsp;27 [[WebIndex]]<br />&nbsp;26 [[WebNotify]]<br />&nbsp;24 [[DocsPriority2007]] |  |
| Jun 2015 |  1125 |  0 |  0 | 161 [[WebStatistics]]<br />126 [[WebHome]]<br />&nbsp;83 [[TipSurveyResults]]<br />&nbsp;53 [[TipDocuments]]<br />&nbsp;36 [[WebChanges]]<br />&nbsp;32 [[WebPreferences]]<br />&nbsp;24 [[Glossary]]<br />&nbsp;22 [[WebNotify]]<br />&nbsp;18 [[Review_TipDocuments_WebsiteTechEval_Summary]]<br />&nbsp;17 [[TipSurveyResultsWeaknessDetails]]<br />&nbsp;16 [[WebTopicList]] |  |
| May 2015 |  1375 |  0 |  0 | 327 [[WebStatistics]]<br />115 [[WebHome]]<br />&nbsp;82 [[TipSurveyResults]]<br />&nbsp;48 [[TipDocuments]]<br />&nbsp;26 [[WebChanges]]<br />&nbsp;25 [[Glossary]]<br />&nbsp;24 [[WebTopicList]]<br />&nbsp;23 [[WebPreferences]]<br />&nbsp;23 [[WebNotify]]<br />&nbsp;20 [[DocsDraftStrategy]]<br />&nbsp;19 [[TipSurveyResultsStrengthDetails]] |  |
| Apr 2015 |  1710 |  0 |  0 | 514 [[WebStatistics]]<br />242 [[WebHome]]<br />&nbsp;81 [[TipDocuments]]<br />&nbsp;63 [[FixMe]]<br />&nbsp;42 [[WebPreferences]]<br />&nbsp;33 [[Review_TipDocuments_WebsiteRequirements_Summary]]<br />&nbsp;29 [[TipSurveyResults]]<br />&nbsp;28 [[WebChanges]]<br />&nbsp;22 [[Glossary]]<br />&nbsp;22 [[TaxonAPI]]<br />&nbsp;19 [[DocsDocumentation]] |  |
| Mar 2015 |  1205 |  0 |  0 | 317 [[WebStatistics]]<br />154 [[WebHome]]<br />137 [[TipDocuments]]<br />&nbsp;45 [[Review_TipDocuments_WebsiteRequirements_Summary]]<br />&nbsp;45 [[WebChanges]]<br />&nbsp;26 [[DocsDraftStrategy]]<br />&nbsp;22 [[TipSurveyResults]]<br />&nbsp;21 [[WebNotify]]<br />&nbsp;20 [[WebIndex]]<br />&nbsp;18 [[WebPreferences]]<br />&nbsp;17 [[TipSurveyResultsStrengthDetails]] |  |
| Feb 2015 |  1363 |  0 |  0 | 168 [[WebStatistics]]<br />135 [[WebHome]]<br />111 [[TipDocuments]]<br />&nbsp;57 [[TipSurveyResults]]<br />&nbsp;42 [[WebChanges]]<br />&nbsp;41 [[WebPreferences]]<br />&nbsp;37 [[Glossary]]<br />&nbsp;34 [[WebNotify]]<br />&nbsp;32 [[WebsiteDevelopmentPlan]]<br />&nbsp;32 [[CurrentWebsiteDocuments]]<br />&nbsp;24 [[WebSearchAdvanced]] |  |
